County_FIPS,Unemployment_Rate,,,,,
1001,4.9,,,,,
1003,5.2,,,,,
1005,9.6,,,,,
1007,6,,,,,
1009,4.9,,,,,
1011,9.5,,,,,
1013,7.2,,,,,
1015,6.7,,,,,
1017,5.6,,,,,
1019,4.7,,,,,
1021,5.4,,,,,
1023,7.3,,,,,
1025,10.5,,,,,
1027,6.3,,,,,
1029,5.3,,,,,
1031,5.5,,,,,
1033,7.3,,,,,
1035,9.6,,,,,
1037,7.4,,,,,
1039,6.7,,,,,
1041,5.6,,,,,
1043,5,,,,,
1045,6,,,,,
1047,10.2,,,,,
1049,5.7,,,,,
1051,4.8,,,,,
1053,7.1,,,,,
1055,5.7,,,,,
1057,6.1,,,,,
1059,6.5,,,,,
1061,5.5,,,,,
1063,11.4,,,,,
1065,7.7,,,,,
1067,6.2,,,,,
1069,5.9,,,,,
1071,6.1,,,,,
1073,5.4,,,,,
1075,6.1,,,,,
1077,6.4,,,,,
1079,7.2,,,,,
1081,4.5,,,,,
1083,5,,,,,
1085,12,,,,,
1087,7.7,,,,,
1089,5.2,,,,,
1091,6.7,,,,,
1093,7,,,,,
1095,5.7,,,,,
1097,6.7,,,,,
1099,10.1,,,,,
1101,5.9,,,,,
1103,5.5,,,,,
1105,10.3,,,,,
1107,6.5,,,,,
1109,6.6,,,,,
1111,5.9,,,,,
1113,5.6,,,,,
1115,4.8,,,,,
1117,3.8,,,,,
1119,7.3,,,,,
1121,6.3,,,,,
1123,6.2,,,,,
1125,4.8,,,,,
1127,6.5,,,,,
1129,7.8,,,,,
1131,14.6,,,,,
1133,7.5,,,,,
2013,5.6,,,,,
2016,5.7,,,,,
2020,4.8,,,,,
2050,13.6,,,,,
2060,13.1,,,,,
2068,19.6,,,,,
2070,10.3,,,,,
2090,5.6,,,,,
2100,11.7,,,,,
2105,16.5,,,,,
2110,5,,,,,
2122,7.6,,,,,
2130,7.9,,,,,
2150,5.7,,,,,
2164,14.2,,,,,
2170,7.4,,,,,
2180,9.9,,,,,
2185,5.6,,,,,
2188,13.3,,,,,
2195,10,,,,,
2198,12.3,,,,,
2220,5.3,,,,,
2230,19.4,,,,,
2240,11.9,,,,,
2261,10.3,,,,,
2270,19.7,,,,,
2275,9.3,,,,,
2282,9,,,,,
2290,16.9,,,,,
4001,14.2,,,,,
4003,7.7,,,,,
4005,6.7,,,,,
4007,7.9,,,,,
4009,7.3,,,,,
4011,7.9,,,,,
4012,7.3,,,,,
4013,5.5,,,,,
4015,8.2,,,,,
4017,10,,,,,
4019,5.9,,,,,
4021,6.6,,,,,
4023,12.2,,,,,
4025,5.8,,,,,
4027,20.3,,,,,
5001,4.8,,,,,
5003,8,,,,,
5005,5.9,,,,,
5007,4,,,,,
5009,5.4,,,,,
5011,6.8,,,,,
5013,5.7,,,,,
5015,4.7,,,,,
5017,9.2,,,,,
5019,5.6,,,,,
5021,7.1,,,,,
5023,6.9,,,,,
5025,6,,,,,
5027,6.3,,,,,
5029,6,,,,,
5031,4.7,,,,,
5033,5.4,,,,,
5035,6.7,,,,,
5037,6.1,,,,,
5039,8.2,,,,,
5041,7.4,,,,,
5043,7.4,,,,,
5045,4.9,,,,,
5047,4.8,,,,,
5049,5,,,,,
5051,5.9,,,,,
5053,4.8,,,,,
5055,5.7,,,,,
5057,6.3,,,,,
5059,5.1,,,,,
5061,7.7,,,,,
5063,6.8,,,,,
5065,6.9,,,,,
5067,8.3,,,,,
5069,7.4,,,,,
5071,5.7,,,,,
5073,6.9,,,,,
5075,6.1,,,,,
5077,6.7,,,,,
5079,6.3,,,,,
5081,6.5,,,,,
5083,5.2,,,,,
5085,4.5,,,,,
5087,4,,,,,
5089,5.4,,,,,
5091,5.2,,,,,
5093,7.6,,,,,
5095,6.4,,,,,
5097,7.1,,,,,
5099,5.5,,,,,
5101,5.5,,,,,
5103,6.7,,,,,
5105,6.8,,,,,
5107,8,,,,,
5109,7.4,,,,,
5111,5.7,,,,,
5113,5.6,,,,,
5115,5.5,,,,,
5117,5.5,,,,,
5119,4.9,,,,,
5121,6.8,,,,,
5123,7.5,,,,,
5125,4.4,,,,,
5127,4.2,,,,,
5129,5.8,,,,,
5131,5,,,,,
5133,6.8,,,,,
5135,7.5,,,,,
5137,6.6,,,,,
5139,6.8,,,,,
5141,6.9,,,,,
5143,3.7,,,,,
5145,6.3,,,,,
5147,6.9,,,,,
5149,4.8,,,,,
6001,5.5,,,,,
6003,8.2,,,,,
6005,7.6,,,,,
6007,7.9,,,,,
6009,7.4,,,,,
6011,16.6,,,,,
6013,5.7,,,,,
6015,9.6,,,,,
6017,6.5,,,,,
6019,11.3,,,,,
6021,8.9,,,,,
6023,6.3,,,,,
6025,22.7,,,,,
6027,6.7,,,,,
6029,9.4,,,,,
6031,11.4,,,,,
6033,8.6,,,,,
6035,8.4,,,,,
6037,7.7,,,,,
6039,11.4,,,,,
6041,4.1,,,,,
6043,8.8,,,,,
6045,6.6,,,,,
6047,11.9,,,,,
6049,9.7,,,,,
6051,7.7,,,,,
6053,8.5,,,,,
6055,5.7,,,,,
6057,6.2,,,,,
6059,5.2,,,,,
6061,5.9,,,,,
6063,10.8,,,,,
6065,7.7,,,,,
6067,6.8,,,,,
6069,8.5,,,,,
6071,7.4,,,,,
6073,6,,,,,
6075,4.1,,,,,
6077,10.1,,,,,
6079,5.4,,,,,
6081,3.9,,,,,
6083,5.9,,,,,
6085,4.8,,,,,
6087,8.2,,,,,
6089,8.6,,,,,
6091,8.1,,,,,
6093,10.5,,,,,
6095,6.9,,,,,
6097,5.3,,,,,
6099,10.6,,,,,
6101,11.9,,,,,
6103,8.5,,,,,
6105,9.2,,,,,
6107,12.4,,,,,
6109,7.8,,,,,
6111,6.6,,,,,
6113,7.4,,,,,
6115,10.2,,,,,
8001,4.7,,,,,
8003,5.5,,,,,
8005,4.1,,,,,
8007,4.6,,,,,
8009,2.3,,,,,
8011,4.3,,,,,
8013,3.4,,,,,
8014,3.6,,,,,
8015,3.9,,,,,
8017,2.2,,,,,
8019,3.7,,,,,
8021,5.8,,,,,
8023,7.2,,,,,
8025,4.8,,,,,
8027,3.5,,,,,
8029,5.4,,,,,
8031,4,,,,,
8033,2.5,,,,,
8035,3.4,,,,,
8037,4.5,,,,,
8039,3.4,,,,,
8041,5,,,,,
8043,6.7,,,,,
8045,4.2,,,,,
8047,3.5,,,,,
8049,3.5,,,,,
8051,3.7,,,,,
8053,3,,,,,
8055,7.8,,,,,
8057,2.4,,,,,
8059,3.7,,,,,
8061,2.7,,,,,
8063,2.5,,,,,
8065,4,,,,,
8067,3.5,,,,,
8069,3.5,,,,,
8071,5.9,,,,,
8073,3.7,,,,,
8075,3.1,,,,,
8077,4.8,,,,,
8079,3.5,,,,,
8081,4.4,,,,,
8083,5.3,,,,,
8085,5.3,,,,,
8087,3.5,,,,,
8089,6.2,,,,,
8091,5,,,,,
8093,3.7,,,,,
8095,2.6,,,,,
8097,6.2,,,,,
8099,3.8,,,,,
8101,5.9,,,,,
8103,4.9,,,,,
8105,7,,,,,
8107,3.9,,,,,
8109,6.3,,,,,
8111,5.9,,,,,
8113,7.6,,,,,
8115,3.7,,,,,
