STATE_NAME,UNEMPLOYMENT_RATE,STATE_FIPS_ID
ALABAMA,6.3,1
ALASKA,6.6,2
ARIZONA,5.9,4
ARKANSAS,4.7,5
CALIFORNIA,5.9,6
COLORADO,3.5,8
CONNECTICUT,5.4,9
DELAWARE,4.9,10
DISTRICT OF COLUMBIA,6.6,11
FLORIDA,5.1,12
GEORGIA,5.5,13
HAWAII,3.3,15
IDAHO,3.9,16
ILLINOIS,6.1,17
INDIANA,4.6,18
IOWA,3.5,19
KANSAS,4,20
KENTUCKY,5.7,21
LOUISIANA,5.8,22
MAINE,4,23
MARYLAND,5,24
MASSACHUSETTS,4.9,25
MICHIGAN,5.1,26
MINNESOTA,3.7,27
MISSISSIPPI,6.8,28
MISSOURI,4.4,29
MONTANA,4.1,30
NEBRASKA,3,31
NEVADA,6.3,32
NEW HAMPSHIRE,3.1,33
NEW JERSEY,4.8,34
NEW MEXICO,6.6,35
NEW YORK,5,36
NORTH CAROLINA,5.6,37
NORTH DAKOTA,2.7,38
OHIO,4.8,39
OKLAHOMA,4.1,40
OREGON,5.5,41
PENNSYLVANIA,4.7,42
RHODE ISLAND,5.4,44
SOUTH CAROLINA,5.5,45
SOUTH DAKOTA,2.9,46
TENNESSEE,5.6,47
TEXAS,4.6,48
UTAH,3.4,49
VERMONT,3.5,50
VIRGINIA,4.2,51
WASHINGTON,5.8,53
WEST VIRGINIA,6.2,54
WISCONSIN,4.6,55
WYOMING,4.4,56
